id;title;photo;photo_content_type;text
1;Forward Steel Data;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
2;invoice;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
3;generating Berkshire;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
4;Steel yellow Berkshire;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
5;Dynamic;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
6;New cross-platform;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
7;plum AGP Program;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
8;Intuitive;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
9;Borders transmit;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
10;Keyboard Directives;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
