id;text;date;stars;author;anuncio_id
1;../fake-data/blob/hipster.txt;2021-11-03T09:15:54;Two;Cheese USB;1
2;../fake-data/blob/hipster.txt;2021-11-03T09:28:54;Two;capacitor Ergonomic Configuration;2
3;../fake-data/blob/hipster.txt;2021-11-03T01:27:47;Four;Tools Account India;3
4;../fake-data/blob/hipster.txt;2021-11-03T04:47:15;One;SMTP Soft infrastructures;4
5;../fake-data/blob/hipster.txt;2021-11-03T13:41:10;Three;Profound bypass;5
6;../fake-data/blob/hipster.txt;2021-11-03T01:17:24;Four;Plastic;6
7;../fake-data/blob/hipster.txt;2021-11-03T17:53:31;One;Utah transmitter;7
8;../fake-data/blob/hipster.txt;2021-11-03T13:28:24;Two;integrate optimize generating;8
9;../fake-data/blob/hipster.txt;2021-11-03T06:06:20;Three;withdrawal Awesome;9
10;../fake-data/blob/hipster.txt;2021-11-03T02:11:46;Three;South Dollar green;10
